eggnog_A,eggnog_C,eggnog_D,eggnog_E,eggnog_F,eggnog_G,eggnog_H,eggnog_I,eggnog_J,eggnog_K,eggnog_L,eggnog_M,eggnog_N,eggnog_NH,eggnog_O,eggnog_P,eggnog_Q,eggnog_S,eggnog_T,eggnog_U,eggnog_V,eggnog_eggnog_mixed,all_acc_COGs,eggnog_mixed
,group_238,yoeB,argG,deoD_1,mro,group_411,oatA,group_832,group_1173,group_54,group_296,strH_2,group_1177,ydcP,group_1195,sttH,group_1,yehU,group_1242,group_1176,,group_1,artP_1
,egsA,divIVA,group_234,fhs1,pfbA,group_415,group_168,kcsA,slyA_1,group_30,lnpD_1,group_428,group_1172,trxA_2,group_545,group_1216,group_1171,citS,group_655,macB_1,,group_1171,comC
,trxB_2,group_1241,group_236,mutX_1,group_1191,dhfR,group_511,group_256,group_299,dpnC,menH,,group_544,tsaB,group_1200,axeA,group_1174,agrA_1,group_1402,lolD,,group_54,nagC
,adhB,gpsB,group_424,group_642,group_549,pdxT,group_1112,group_1284,group_300,repN,group_857,,group_1204,group_944,group_1201,group_1323,group_532,walK_2,group_1024,group_123,,group_1173,group_1237
,ald,group_894,leuA,rizA,group_770,thiM_1,group_2061,rpsZ,kstR2,group_1210,yodJ,,group_1211,group_166,dps,group_364,group_1175,apaH,secY2,lmrA_2,,group_1174,group_324
,group_683,group_500,group_245,group_1080,licC_2,thiF,group_2221,group_1342,degA_1,group_1209,lcnD_2,,capA_1,group_316,efeN,menG,group_534,group_1411,secA_1,lmrA,,group_532,glnH_2
,sstT,group_277,group_433,mutX_2,celA_1,group_1338,,group_919,acpA_2,group_1219,group_340,,group_1236,nisP,group_430,group_1073,ricR,group_456,group_1081,yxdL_1,,group_1175,pabB
,group_1504,cpsD,mgl,queC,yesO_1,group_1337,,rlmN,group_1228,group_87,gspA_1,,group_136,group_317,glnM_2,group_721,group_744,mutL_2,group_1594,natA_2,,group_1177,group_1273
,group_633,group_1621,glnQ_3,group_525,sacA,group_1384,,group_1060,group_1235,group_419,ponA,,group_328,prtP_1,tcyB,group_1640,catE,desK,group_1732,group_594,,group_1172,nagC_1
,gutB,group_1634,group_604,group_2007,queF,hemH,,ydaF_1,yjaB,group_88,group_2428,,group_196,group_1916,group_1250,group_1648,group_1179,group_401,group_1752,group_593,,group_534,group_895
,group_1919,group_1657,sarA_2,group_2067,treP,fpgS_1,,group_1470,group_1260,group_111,rmlB,,group_1245,group_2056,glnP_1,ebh,group_755,iphP,group_1753,group_337,,mro,agrA_2
,group_1143,ftsK_1,group_349,group_2327,tabA_2,sulA,,group_1079,group_1261,fokIM,rmlA,,moeB,ftsH4,group_891,group_1954,group_231,group_1672,group_1758,group_1340,,ricR,ltrA
,trxB_1,spaP_1,cysK,,nanA_1,ygfA,,metG_2,group_1263,group_1240,rmlD,,group_1249,group_319,group_354,group_2087,group_298,group_1769,group_1782,msbA,,group_744,group_270
,group_2159,spaP_2,group_1378,,gatA_2,group_1613,,tetM,group_603,group_44,spsI,,group_1257,grpE_2,group_146,group_2286,group_1180,group_1881,group_1886,group_1385,,catE,relA_2
,group_2329,soj,arcB,,group_839,group_1650,,group_1836,mtlR,group_1262,tagF,,group_850,dnaK_2,group_282,,group_1181,baeS,group_1887,group_216,,group_1179,resA
,group_2402,ssp5,arcA,,lacE_2,group_1762,,group_1955,ywtF,group_174,group_1307,,group_1259,group_2382,group_1407,,group_1183,group_1138,group_1899,group_1003,,deoD_1,group_1419
,ntpC,fic_2,arcC1,,group_194,moeZ_2,,pnp_2,ygaV,group_448,group_893,,group_195,,fepD_2,,group_758,group_2080,group_1903,mepA,,group_755,glgC
,ntpG,group_501,group_1398,,group_860,group_1130,,aphA4,group_1335,Int-Tn_1,group_1308,,group_1277,,yfhA,,group_1182,serB_1,group_1961,yxlF_3,,group_231,yusV
,ntpA,group_2438,ald2,,group_600,group_2033,,group_2065,group_1341,group_175,group_1305,,group_1282,,yfmC,,group_1188,group_2227,group_1969,group_222,,group_298,group_1472
,ntpB,group_526,group_389,,group_615,group_2083,,erm,group_1345,uvrB_1,pbpX_1,,group_879,,sugC_1,,group_1189,group_2323,ftsY,yknY_2,,group_1180,tcyA_2
,ntpD,,artM_1,,lacF_1,group_2129,,group_2125,group_1352,group_179,ugd_1,,group_1291,,ecfT_3,,group_767,,spsB_2,group_1421,,group_1176,group_1490
,atpE_1,,group_237,,licC_3,group_2168,,,group_1353,group_180,ugd,,group_1306,,yteP_2,,group_76,,group_2135,group_1422,,group_1181,cpsB
,ntpK,,sarA_3,,lacG_1,group_2271,,,group_925,group_611,group_266,,group_1322,,ycjP_2,,group_1193,,,group_288,,group_1183,group_1540
,,,thrC,,mtlF,nanA_3,,,group_930,group_99,bshA,,group_1325,,group_618,,pkn1,,,group_289,,group_758,spoT
,,,group_1593,,mtlD,,,,group_468,group_117,group_1448,,group_352,,group_1717,,group_1196,,,group_1427,,group_296,leuB_2
,,,leuD,,mtlA,,,,rimI,group_47,wbbI,,group_1351,,group_1725,,group_1197,,,yxlF_2,,argG,group_1678
,,,leuA_1,,group_258,,,,phoB,hsdS_1,group_1455,,group_931,,group_353,,group_1202,,,lagD_4,,group_30,group_1741
,,,metZ,,nagD,,,,srlR_2,hsdS,gtf2_2,,group_938,,group_1895,,group_1203,,,nisC,,group_1182,group_1763
,,,pepE,,group_1304,,,,group_950,group_129,gtf2_3,,group_1361,,modB,,sftA,,,lagD_1,,slyA_1,group_1766
,,,group_1623,,group_1310,,,,group_953,group_89,epsJ_3,,group_1367,,malK_1,,group_1206,,,irtA,,dpnC,group_1833
,,,group_1625,,lacF_5,,,,group_1403,group_421,epsH_1,,iga_2,,group_2069,,group_551,,,ndvA,,artP_1,group_1839
