"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR906946_G1_23F_1999","ERR906947_G3_19A_2007","ERR906949_G5_NT_2010","ERR906950_G5_19A_2010","ERR906951_G5_23B_2010","ERR906952_G5_15A_2010","ERR906953_G5_19A_2010","ERR906954_G5_7C_2010"
"sufB_1","","FeS cluster assembly protein SufB","8","8","1","11","2333","","","","1412","1457","1417","SPN_01685","c42d22b1a89013949a40735112065cff_1878","1651352c2107c8e99d1e2755be326f79_1888","60840bfe9c73a8f6158b7bc25c0cbd81_1322","a0f7cc78741c7df6a041aa1969fd6ff0_1226","c456f1c0372d74d556a5dc3af636a419_1084","731f4f343d163482ebf56e977393a970_417","ca0cc224996876d0826ad521ee7078ca_1911"
"sufS","","Cysteine desulfurase SufS","8","8","1","11","2335","","","","1226","1226","1226","SPN_01687","c42d22b1a89013949a40735112065cff_1880","1651352c2107c8e99d1e2755be326f79_1890","60840bfe9c73a8f6158b7bc25c0cbd81_1320","a0f7cc78741c7df6a041aa1969fd6ff0_1228","c456f1c0372d74d556a5dc3af636a419_1082","731f4f343d163482ebf56e977393a970_419","ca0cc224996876d0826ad521ee7078ca_1913"
"sufB_2","","FeS cluster assembly protein SufB","8","8","1","11","2336","","","","1262","1262","1262","SPN_01688","c42d22b1a89013949a40735112065cff_1881","1651352c2107c8e99d1e2755be326f79_1891","60840bfe9c73a8f6158b7bc25c0cbd81_1319","a0f7cc78741c7df6a041aa1969fd6ff0_1229","c456f1c0372d74d556a5dc3af636a419_1081","731f4f343d163482ebf56e977393a970_420","ca0cc224996876d0826ad521ee7078ca_1914"
"ycfH","","putative metal-dependent hydrolase YcfH","8","8","1","11","3322","","","","773","773","773","SPN_01717","c42d22b1a89013949a40735112065cff_1169","1651352c2107c8e99d1e2755be326f79_1653","60840bfe9c73a8f6158b7bc25c0cbd81_1043","a0f7cc78741c7df6a041aa1969fd6ff0_1371","c456f1c0372d74d556a5dc3af636a419_1852","731f4f343d163482ebf56e977393a970_1627","ca0cc224996876d0826ad521ee7078ca_1309"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","8","8","1","11","3313","","","","878","878","878","SPN_01725","c42d22b1a89013949a40735112065cff_1161","1651352c2107c8e99d1e2755be326f79_1660","60840bfe9c73a8f6158b7bc25c0cbd81_1036","a0f7cc78741c7df6a041aa1969fd6ff0_1379","c456f1c0372d74d556a5dc3af636a419_1861","731f4f343d163482ebf56e977393a970_1635","ca0cc224996876d0826ad521ee7078ca_1301"
"lysA","","Diaminopimelate decarboxylase","8","8","1","11","3307","","","","1250","1262","1251","SPN_01731","c42d22b1a89013949a40735112065cff_1155","1651352c2107c8e99d1e2755be326f79_1666","60840bfe9c73a8f6158b7bc25c0cbd81_1030","a0f7cc78741c7df6a041aa1969fd6ff0_1385","c456f1c0372d74d556a5dc3af636a419_1867","731f4f343d163482ebf56e977393a970_1641","ca0cc224996876d0826ad521ee7078ca_1295"
"group_1008","","Putative TrmH family tRNA/rRNA methyltransferase","8","8","1","11","3303","","","","740","740","740","SPN_01735","c42d22b1a89013949a40735112065cff_1151","1651352c2107c8e99d1e2755be326f79_1670","60840bfe9c73a8f6158b7bc25c0cbd81_1026","a0f7cc78741c7df6a041aa1969fd6ff0_1389","c456f1c0372d74d556a5dc3af636a419_1871","731f4f343d163482ebf56e977393a970_1645","ca0cc224996876d0826ad521ee7078ca_1291"
"ndk","","Nucleoside diphosphate kinase","8","8","1","11","3289","","","","413","413","413","SPN_01749","c42d22b1a89013949a40735112065cff_1137","1651352c2107c8e99d1e2755be326f79_1683","60840bfe9c73a8f6158b7bc25c0cbd81_1012","a0f7cc78741c7df6a041aa1969fd6ff0_1403","c456f1c0372d74d556a5dc3af636a419_1885","731f4f343d163482ebf56e977393a970_1659","ca0cc224996876d0826ad521ee7078ca_1278"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","8","8","1","11","3281","","","","443","443","443","SPN_01756","c42d22b1a89013949a40735112065cff_1122","1651352c2107c8e99d1e2755be326f79_1687","60840bfe9c73a8f6158b7bc25c0cbd81_978","a0f7cc78741c7df6a041aa1969fd6ff0_1410","c456f1c0372d74d556a5dc3af636a419_1892","731f4f343d163482ebf56e977393a970_1665","ca0cc224996876d0826ad521ee7078ca_1271"
"group_1014","","hypothetical protein","8","8","1","11","3257","","","","410","410","410","SPN_01773","c42d22b1a89013949a40735112065cff_1103","1651352c2107c8e99d1e2755be326f79_1706","60840bfe9c73a8f6158b7bc25c0cbd81_952","a0f7cc78741c7df6a041aa1969fd6ff0_1436","c456f1c0372d74d556a5dc3af636a419_1910","731f4f343d163482ebf56e977393a970_1680","ca0cc224996876d0826ad521ee7078ca_1253"
